Farmers Market name,Town
Andover Farmers Market,Andover
Ansonia Farmers Market,Ansonia
Ashford Farmers Market,Ashford
Bantam Community Farmers Market,Bantam
Beacon Falls Farmers Market,Beacon Falls
Bloomfield Farmers Market,Bloomfield
Bloomfield Farmers Market,Bloomfield
Bozrah Farmers Market,Bozrah
East End NRZ Market & Café,Bridgeport
Alliance Farmers Market,Bridgeport
Downtown Bridgeport Farmers Market,Bridgeport
St. Vincent's Farm Stand,Bridgeport
Green Village Initiative Reservoir Farmers Market,Bridgeport
Reservoir Farmers Market,Bridgeport
Alliance Farmers Market,Bridgeport
Farmers Market of Black Rock,Bridgeport
East Side Farmers Market,Bridgeport
Bristol Farmers Market Inc,Bristol
Brookfield Farmers Market,Brookfield
Brooklyn Farmers Market,Brooklyn
Canton Main St Farmers Market,Canton
Colchester Farmers Market,Colchester
Coventry Farmers Market,Coventry
Town of Cromwell Farmers Market,Cromwell
Danbury Farmers Market,Danbury
Danielson Farmers Market,Danielson
Darien Farmers Market,Darien
Durham Farmers Market,Durham
East Granby Farmers Market,East Granby
East Haddam Farmers Market,East Haddam
East Hartford Farmers Market,East Hartford
Ellington Farmers Market,Ellington
Killam & Bassette Farmstead LLC,Glastonbury
Brignole Vineyard Farmers Market,Granby
Groton Farmers Market,Groton
Farmers Market at the Guilford Fairgrounds,Guilford
CT Old State House Farmers Market,Hartford
Knox Farmers Market,Hartford
North End Farmers Market,Hartford
West End Farmers Market,Hartford
Higganum Farmers Market,Higganum
Lebanon Farmers Market,Lebanon
Ledyard Farmers Market,Ledyard
Lisbon Farmers Market,Lisbon
Litchfield Hills Farmers Market,Litchfield
Madison Farmers Market,Madison
Elicit Brewing Farmers Market,Manchester
MACC Manchester Farmers Market,Manchester
Spruce Street Farmers Market,Manchester
Northwest Park Farmers Market,Manchester
The Meriden Farmers Market Inc,Meriden
Middletown Farmers Market,Middletown
Village of Devon Farmers Market,Milford
Walnut Beach Farmers Market,Milford
Downtown Milford Farmers Market,Milford
Monroe Farmers Market,Monroe
Naugatuck Farmers Market,Naugatuck
City of New Britain's Main Street Market,New Britain
New Canaan Farmers Market,New Canaan
CitySeed Q House Farmers Market,New Haven
CitySeed Edgewood Park Farmers Market,New Haven
CitySeed Wooster Square Farmers Market,New Haven
New Milford Farmers Market,New Milford
Niantic Farmers Market,Niantic
N. Stonington Farmers Market,N. Stonington
Norwalk Community Health Ctr Farmers Market,Norwalk
Downtown Norwich Farmers Market,Norwich
Norwich Uncas on Thames,Norwich
Old Saybrook Farmers Market,Old Saybrook
Orange Community Farmers Market,Orange
Plainfield Farmers Market,Plainfield
Putnam Thursday Farmers Market,Putnam
Putnam Saturday Farmers Market,Putnam
Scotland Farmers Market,Scotland
Seymour Farmers Market,Seymour
Shelton CT Farmers Market,Shelton
South Windsor Farmers Market,South Windsor
Southbury Farmers Market,Southbury
Southington Farmers Market,Southington
Stafford Area Farmers & Crafters Market,Stafford Springs
Stafford Farmers Market,Stafford Springs
Stamford Downtown Farmers Market,Stamford
Stamford Museum & Nature Ctr Farmers Market,Stamford
Storrs Farmers Market,Storrs
Paradise Green Farmers Market,Stratford
Suffield Farmers Market,Suffield
Tolland Green Farmers Market,Tolland
Torrington Farmers Market,Torrington
Trumbull Farmers Market,Trumbull
Voluntown Farmers Market,Voluntown
Blue Back Farmers Market,West Hartford
West Hartford Farmers Market,West Hartford
West Haven Tony Inerzo Farmers Market,West Haven
Westport Farmers Market,Westport
Wethersfield Farmers Market,Wethersfield
Windham Farmers Market,Willimantic
First Town Downtown Windsor Farmers Market,Windsor